Ward No.,Ward Name,Seat,Reservation,Elected Candidate Name,Party
1,Kalas-Dhanori-Lohegaon,A,SC (Women),Ashwini Rahul Bhandare,BJP
1,,B,ST,Dangat Sangita Sandip,BJP
1,,C,OBC (Women),Tingre Rekha Chandrakant,NCP
1,,D,General,Anil Vasantrao Tingre,BJP
2,Phulenagar-Nagpur Chawl,A,SC (Women),Dhende Nandini Siddharth,NCP
2,,B,OBC,Harshal Ramesh Tingre,NCP
2,,C,General (Women),Shital Ajay Sawant,NCP
2,,D,General,Suhas Vijay Tingre,NCP
3,Vimannagar-Lohegaon,A,OBC (Women),Dr. Shreyas Pritam Khandve,BJP
3,,B,OBC,Anil Dilip Satav,BJP
3,,C,General (Women),Patil Aishwarya Atul,BJP
3,,D,General,Dabhade Ramdas Dattatray,BJP
4,Kharadi-Wagholi,A,SC,Bansode Shailjeet Jaywant,BJP
4,,B,OBC (Women),Satav Ratnamala Sandip,BJP
4,,C,General (Women),Bharane Trupti Santosh,BJP
4,,D,General,Surendra Bapusaheb Pathare,BJP
5,Kalyaninagar-Vadgaonsheri,A,OBC,Galande Narayan Mohan,BJP
5,,B,General (Women),Galande Shweta Mukund,BJP
5,,C,General (Women),Galande Kavita Mahendra,BJP
5,,D,General,Mulik Yogesh Tukaram,BJP
6,Yerawada-Gandhinagar,A,SC,Adv. Salve Avinash Raj,INC
6,,B,OBC (Women),Sheikh Saira Hanif,INC
6,,C,General (Women),Ashwini Daniel Landge,INC
6,,D,General,Vishal Hari Malke,INC
7,Gokhalenagar-Wakdewadi,A,SC (Women),Manvatkar Nisha Sachin,BJP
7,,B,OBC (Women),Anjali Vinod Orse,NCP
7,,C,General,Nikam Nilesh Narayan,NCP
7,,D,General,Dattatray Rangnath Bahirat,NCP
8,Aundh-Bopodi,A,SC,Parshuram Balakrishna Wadekar,BJP
8,,B,OBC (Women),Gaikwad Bhakti Ajit,BJP
8,,C,General (Women),Chhajed Sapna Anand,BJP
8,,D,General,Nimhan Chandrashekhar Vinayak,BJP
9,Sus-Baner-Pashan,A,ST (Women),Chimte Rohini Sudhir,BJP
9,,B,OBC,Chandere Baburao Dattoba,NCP
9,,C,General (Women),Mayuri Rahul Kokate,BJP
9,,D,General,Amol Ratan Balwadkar,NCP
10,Bavdhan-Bhusari Colony,A,OBC,Kiran Dattatray Dagde,BJP
10,,B,General (Women),Pawar Rupali Sachin,BJP
10,,C,General (Women),Varape Alpana Ganesh,BJP
10,,D,General,Dilip Tukaram Vedepatil,BJP
11,Rambaug-Shivteerthnagar,A,OBC,Harshwardhan Deepak Mankar,NCP
11,,B,General (Women),Deepali Santosh Dokh,INC
11,,C,General (Women),Manisha Sandeep Butala,BJP
11,,D,General,Kadam Ramchandra Atmaram,INC
12,Shivajinagar-Model Colony,A,SC (Women),Amruta Ram Mhetre,BJP
12,,B,OBC,Apoorva Dattatray Khade,BJP
12,,C,General (Women),Pooja Anil Panchal,BJP
12,,D,General,Ekabote Nivedita Gajanan,BJP
13,Pune Station-Jay Jawannagar,A,SC,Alhat Nilesh Suresh,BJP
13,,B,OBC (Women),Nadaf Sumayya Maheboob,INC
13,,C,General (Women),Bhalerao Vaishali Nagnath,INC
13,,D,General,Arvind Tukaram Shinde,INC
14,Koregaon Park-Mundhwa,A,SC (Women),Himali Navnath Kamble,BJP
14,,B,OBC,Dhayarkar Kishor Vishnu,BJP
14,,C,General (Women),Kavde Surekha Chandrakant,NCP
14,,D,General,Gaikwad Umesh Dnyaneshwar,BJP
15,Manjari-Keshavnagar,A,SC (Women),Abanve Nanda Anil,BJP
15,,B,OBC,Dr. Dada Kodre,BJP
15,,C,General (Women),Ghule Sarika Amit,BJP
15,,D,General,Ajit Dattatray Ghule,NCP
16,Hadapsar-Satavwadi,A,OBC (Women),Vaishali Sunil Bankar,NCP
16,,B,General (Women),Jangle Ujwala Subhash,BJP
16,,C,General,Gawade Nitin Nivrutti,SHS (UBT)
16,,D,General,Tupe Maruti Shivaji,BJP
17,Ramtekdi-Malwadi,A,SC,Londhe Khandu Satish,BJP
17,,B,OBC (Women),Magar Hemlata Nilesh,NCP
17,,C,General (Women),Payal Viraj Tupe,BJP
17,,D,General,Tupe Prashant alias Mama,BJP
18,Wanowrie-Salunke Vihar,A,OBC,Adv. Kedari Sahil Shivaji,INC
18,,B,General (Women),Kalinda Murlidhar Punde,BJP
18,,C,General (Women),Komal Samir Shendkar,BJP
18,,D,General,Jagtap Prashant Sudam,INC
19,Kondhwa Khurd-Kausar Baug,A,OBC (Women),Sheikh Taslim Hasan,INC
19,,B,General (Women),Asiya Mujamil Sheikh,INC
19,,C,General,Sayyad Kashif Fakrul,INC
19,,D,General,Abdul Gafur Ahmed Pathan,NCP-SP
20,Shankar Maharaj-Bibwewadi,A,OBC,Shilimkar Rajendra Yashwant,BJP
20,,B,General (Women),Divekar Tanvi Prashant,BJP
20,,C,General (Women),Mansi Manoj Deshpande,BJP
20,,D,General,Gaurav Ganesh Ghule,NCP
21,Mukundnagar-Salisbury Park,A,SC,Vairage Prasannajit Bharat,BJP
21,,B,OBC (Women),Shilimkar Siddhi Avinash,BJP
21,,C,General (Women),Chorbale Manisha Pravin,BJP
21,,D,General,Bhimale Shrinath Yashwant,BJP
22,Kashewadi-Dias Plot,A,SC (Women),Mrunal Pandurang Kamble,BJP
22,,B,OBC,Rafique Abdul Rahim Sheikh,INC
22,,C,General (Women),Tushar Patil,BJP
22,,D,General,Vivek Mahadev Yadav,BJP
