Authority,Department / division,Official designation,Name as published,Office phone,Official published email,Verification status,Jurisdiction / caveat,Government directory,Checked
PMC,Corporation-wide,Municipal Commissioner,Naval Kishor Ram,020-25501100,mco@punecorporation.org,Government-listed; role/current posting needs operational confirmation,Do not assign every PMC issue directly to commissioner; route by department/service first.,https://divcompune.maharashtra.gov.in/en/whos-who/,2026-09-22
PCMC,Corporation-wide,Municipal Commissioner,Dr Vijay Suryawanshi,020-27426331,commisioner@pcmcindia.gov.in,Government-listed; role/current posting needs operational confirmation,Separate jurisdiction from PMC; name from divisional office.,https://divcompune.maharashtra.gov.in/en/whos-who/,2026-09-22
PMRDA,Commissioner Office,Metropolitan Commissioner & CEO,Dr Abhijeet Chaudhari,020-27166012,comm@pmrda.gov.in,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Commissioner Office,Additional Metropolitan Commissioner,Manjulekshmi K.,020-27166015,amcpmrda1@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Vigilance,Superintendent of Police & Chief Vigilance Officer,Amol Zende,020-27166003,cvopmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Administration,Joint Commissioner,Rupali Awale-Dambe,020-27166005,ad.pmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Development Permission & Planning,Director,Avinash Patil,020-27166010,bppmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Engineering 1,Chief Engineer (additional charge),Shivprasad Bagdi,020-27166025,ce1pmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Engineering 2,Chief Engineer,Rinaj Mustak Pathan,020-29991277,pune-metroline3@pmrda.gov.in,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Accounts & Finance,Financial Controller,Jitendra Kolambe,020-27166009,cafopmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Fire / PDRF,Chief Fire Officer,Devendra Potphode,020-27166007,fireofficer.pmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Land & Estate,Joint Commissioner,Poonam Mehta,020-27166003,lnepmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Unauthorized Construction Demolition,Joint Commissioner (additional charge),Himmat Kharade,020-27166004,illegalconstructions.pmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
PMRDA,Planning,Deputy Director of Town Planning & Metropolitan Planner,Smita Kalkutki,020-27166005,planningpmrda@gmail.com,Government-listed; role/current posting needs operational confirmation,Directory lists this office; responsibility is limited to PMRDA's jurisdiction.,https://www.pmrda.gov.in/en/about-us/directory/,2026-09-22
Pune Collectorate,District Administration,District Collector,Jitendra Dudi,020-26123370,collector.pune@maharashtra.gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,District Administration,Additional Collector,Satish Raut,020-26124137,addlcollr.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,District Administration,Resident Deputy Collector,Jyoti Kadam,020-26122114,rdc.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,Tenancy,LRDC,Namdev Tilekar,020-26125133,lrdc.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
Pune Collectorate,Supply,District Supply Officer,Mahesh Sudhalkar,020-26061013,dso.pune-mh@gov.in,Government-listed; role/current posting needs operational confirmation,,https://pune.gov.in/en/about-pune/whos-who/,2026-09-22
