Office,Constituency/area,Name,Evidence level,Caveat,Official source,Checked
Lok Sabha MP,Pune City,Murlidhar Mohol,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
Lok Sabha MP,Baramati,Supriya Sule,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
Lok Sabha MP,Shirur,Amol Kolhe,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
Lok Sabha MP,Maval,Shrirang Appa Barne,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,195 Junnar,Sharad Sonawane,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,196 Ambegaon,Dilip Walse Patil,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,197 Khed-Alandi,Babaji Ramchandra Kale,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,198 Shirur,Dnyaneshwar alias Mauli Katke,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,199 Daund,Rahul Subhashrao Kool,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,200 Indapur,Datta Bharane,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,201 Baramati,Sunetra Ajit Pawar,Official published result / directory,ECI May 2026 by-election result; district page omits constituency 201.,https://results.eci.gov.in/ResultAcByeMay2026/ConstituencywiseS13201.htm,2026-09-22
MLA,202 Purandar,Vijay Shivtare,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,203 Bhor,Shankar Hiraman Mandekar,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,204 Maval,Sunil Shankarrao Shelke,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,205 Chinchwad,Shankar Pandurang Jagtap,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,206 Pimpri,Anna Bansode,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,207 Bhosari,Mahesh Kisan Landge,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,208 Vadgaon Sheri,Bapusaheb Tukaram Pathare,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,209 Shivajinagar,Siddharth Shirole,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,210 Kothrud,Chandrakant Patil,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,211 Khadakwasla,Bhimkar Dhondiba Tapkir,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,212 Parvati,Madhuri Misal,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,213 Hadapsar,Chetan Vitthal Tupe,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,214 Pune Cantonment,Dilip Kamble,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLA,215 Kasba Peth,Hemant Narayan Rasne,Official published result / directory,Pune district government representative list updated 16 September 2026.,https://pune.gov.in/en/public-representative/,2026-09-22
MLC,Maharashtra Legislative Council (Pune-listed),Neelam Gorhe,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
MLC,Maharashtra Legislative Council (Pune-listed),Uma Khapre,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
MLC,Maharashtra Legislative Council (Pune-listed),Yogesh Tilekar,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
MLC,Maharashtra Legislative Council (Pune-listed),Amit Gorkhe,Official published result / directory,Named on government register; appointments and boundaries must be rechecked before automated routing.,https://pune.gov.in/en/public-representative/,2026-09-22
Rajya Sabha MP,Maharashtra; Pune-associated per district list,Sharad Pawar,Official published result / directory,"Rajya Sabha members represent the state, not a Pune geographic seat; district directory has outdated additional RS entries.",https://pune.gov.in/en/public-representative/,2026-09-22
Rajya Sabha MP,Maharashtra; Pune-associated per district list,Medha Vishram Kulkarni,Official published result / directory,"Rajya Sabha members represent the state, not a Pune geographic seat; district directory has outdated additional RS entries.",https://pune.gov.in/en/public-representative/,2026-09-22
