Ward office label,Type,Evidence caveat,Officer assignment,Source,Checked
Yeravada Kalas Dhanori,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Kondhwa - Yevalewadi,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Bibwewadi,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Dhole Patil Road,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Dhankawadi - Sahakar Nagar,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Warje - Karvenagar,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Kasaba Vishrambagwada,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Wanawadi - Ramtekdi,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Aundh - Baner,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Kothrud - Bavdhan,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Shivajinagar - Ghole Road,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Bhavani Peth,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Nagar Road - Vadgaon Sheri,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Hadapsar - Mundhwa,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
Sinhgad Road,Administrative ward office label (not electoral ward),Historical 2022–23 report; existence/naming requires 2026 confirmation,Officer not verified,https://opendata.pmc.gov.in/opendata/PMCReports/ESR_2022-23.pdf,2026-09-22
